time [s],line [1],track/ direction [1],loc. (actual) [km],loc. (target) [km],way (actual) [km],way (target) [km],speed (actual) [km/h],speed (target) [km/h],voltage [V],current [A],track-earth voltage [V],energy input [kWh],energy balance [kWh],usable braking energy [kWh],used braking energy [kWh],recuperated braking energy [kWh],energy braking resistor [kWh],state [1],tractive effort (actual) [kN],tractive effort (target) [kN],line and running resistance [kN],acceleration (actual) [m/(s*s)],acceleration (target) [m/(s*s)],desired speed [km/h],train configuration [1],utilization rate [%]
3934,2,2,9.3400002,9.3400002,0,0,0.2,0.2,781.0368042,34.6974754,-1.4523343,0.0150556,0.0150556,0,0,0,0,15,0,0,0,0,0,0,2,100
3936,2,2,9.3398886,9.3400002,0.0001111,0,0.2,0.2,782.6817017,35.9432793,-2.1284158,0.0306845,0.0306845,0,0,0,0,30,1.1677024,0,1.1677024,0,0,0.2,2,100
3938,2,2,9.3397779,9.3400002,0.0002222,0,0.2,0.2,782.2205811,35.9645538,-2.1975136,0.0463135,0.0463135,0,0,0,0,30,1.1677024,0,1.1677024,0,0,0.2,2,100
3940,2,2,9.3385553,9.3400002,0.0014444,0,4.1999998,4.1999998,775.5292358,96.8204193,-1.436825,0.0880286,0.0880286,0,0,0,0,20,33.3615913,0,1.1677024,0.5555556,0,4.1999998,2,100
3942,2,2,9.334444,9.3400002,0.0055556,0,10.6000004,10.6000004,769.7356567,232.1544647,-0.5094694,0.187305,0.187305,0,0,0,0,20,52.7180214,0,1.2077984,0.8888889,0,10.6000004,2,100
3944,2,2,9.3270273,9.3310003,0.0129722,0.009,16.1000004,16.1000004,765.522522,306.2027588,0.6986482,0.31753,0.31753,0,0,0,0,20,45.5625114,0,1.2959136,0.7638889,0,16.1000004,2,100
3946,2,2,9.3173056,9.3210001,0.0226944,0.019,18.8999996,18.8999996,768.6867676,214.2063141,2.0002067,0.4090065,0.4090065,0,0,0,0,20,23.9309216,0,1.3951997,0.3888889,0,18.8999996,2,100
3948,2,2,9.3063889,9.309,0.0336111,0.031,20.3999996,20.3999996,769.5198975,146.9785919,1.2662126,0.4718415,0.4718415,0,0,0,0,20,13.5268202,0,1.4541116,0.2083333,0,20.3999996,2,100
3950,2,2,9.2943888,9.2969999,0.0456111,0.043,22.7999992,22.7999992,772.7026367,233.5398407,0.2863653,0.5720953,0.5720953,0,0,0,0,20,21.9418068,0,2.6254735,0.3333333,0,22.7999992,2,100
3952,2,2,9.2808609,9.2849998,0.0591389,0.055,25.8999996,25.8999996,769.6578369,332.3643188,1.2436047,0.7142102,0.7142102,0,0,0,0,20,29.5832844,0,4.6330199,0.4305556,0,25.8999996,2,100
3954,2,2,9.2653055,9.2700005,0.0746944,0.07,30.1000004,30.1000004,765.9602661,497.6317139,1.6732701,0.9259691,0.9259691,0,0,0,0,20,40.467083,0,6.6634989,0.5833333,0,30.1000004,2,100
3956,2,2,9.2486668,9.2530003,0.0913333,0.087,29.7999992,29.7999992,781.614624,118.1448135,1.2538086,0.9772711,0.9772711,0,0,0,0,50,4.0964465,0,6.5109882,-0.0416667,0,29.7999992,2,100
3958,2,2,9.2321663,9.2360001,0.1078333,0.104,29.6000004,29.6000004,787.2515869,119.9966354,6.5635457,1.0297531,1.0297531,0,0,0,0,50,4.3639235,0,5.973618,-0.0277778,0,29.6000004,2,100
3960,2,2,9.215889,9.2189999,0.1241111,0.121,29,29,783.6018066,82.1349335,1.4167409,1.0655093,1.0655093,0,0,0,0,50,1.1074895,0,5.9365726,-0.0833333,0,29,2,100
3962,2,2,9.1999722,9.2040005,0.1400278,0.136,28.2999992,28.2999992,783.0628052,72.4941254,-0.9594755,1.0970467,1.0970467,0,0,0,0,50,0.2849206,0,5.9188514,-0.0972222,0,28.2999992,2,100
3964,2,2,9.1842499,9.1890001,0.15575,0.151,28.2999992,28.2999992,782.8487549,101.018837,-0.670568,1.1409814,1.1409814,0,0,0,0,30,5.8985038,0,5.8985038,0,0,28.2999992,2,100
3966,2,2,9.1695004,9.177,0.1705,0.163,24.7999992,24.7999992,806.0357666,-125.0715179,-3.583492,1.1409814,1.0849748,0.0710625,0.0710623,0.0560067,3E-07,50,-22.2711487,0,5.8985038,-0.4861111,0,24.7999992,2,100
3968,2,2,9.1571112,9.1660004,0.1828889,0.174,19.7999992,19.7999992,843.4015503,-171.3010406,-8.0294352,1.1409814,1.0047106,0.1664531,0.166382,0.1362709,7.11E-05,50,-34.4403038,0,5.8020577,-0.6944444,0,19.7999992,2,100
3970,2,2,9.1467781,9.158,0.1932222,0.182,17.3999996,17.3999996,841.1296387,-31.5777664,-6.8061543,1.1409814,0.9899544,0.1962746,0.1961937,0.151027,8.09E-05,50,-13.6367559,0,5.6795774,-0.3333333,0,17.3999996,2,100
3972,2,2,9.1371946,9.1490002,0.2028055,0.191,17.1000004,17.1000004,788.99823,103.3435059,-1.4437764,1.1862803,1.0352532,0.1962746,0.1961937,0.151027,8.09E-05,50,4.8012934,0,7.2158351,-0.0416667,0,17.1000004,2,100
3974,2,2,9.1277504,9.1400003,0.21225,0.2,16.8999996,16.8999996,786.6217041,131.478302,-0.7079818,1.2437378,1.0927109,0.1962746,0.1961937,0.151027,8.09E-05,50,8.7855072,0,10.3952017,-0.0277778,0,16.8999996,2,100
3976,2,2,9.1182222,9.1309996,0.2217778,0.209,17.3999996,17.3999996,785.3776855,164.0401154,-0.7008378,1.315312,1.1642849,0.1962746,0.1961937,0.151027,8.09E-05,20,18.0084858,0,13.9842501,0.0694444,0,17.3999996,2,100
