,Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB),Data Traffic (MB)
Cell Name,1ALTE,1BLTE,1CLTE,1KLTE,1LLTE,1MLTE,1ULTE,1VLTE,1WLTE
Time,,,,,,,,,
2017-09-12 00:00:00,42.809041,42.157373,316.49311,181.117651,1253.982693,2295.603829,115.950716,11.421754,73.749543
2017-09-12 00:15:00,178.664163,19.379776,228.837257,239.446421,531.869597,829.365913,36.543854,41.015285,84.315475
2017-09-12 00:30:00,266.9898,23.486357,201.838962,309.284499,443.99101,736.022524,58.13226,0.608693,45.128115
2017-09-12 00:45:00,278.276535,37.002054,401.785664,266.693572,953.072863,924.549019,0.691095,0.221397,97.533376
2017-09-12 01:00:00,59.71431,10.808971,264.53349,338.074634,681.776727,1227.853312,13.654491,0.516446,137.26169
2017-09-12 01:15:00,85.079006,81.471908,181.047093,280.779296,733.066399,1778.492923,23.850084,0.259106,37.707671
2017-09-12 01:30:00,258.507767,26.700728,401.953057,521.35004,501.516007,1293.061566,108.810523,1.359566,20.71362
2017-09-12 01:45:00,81.698062,4.019014,590.741659,127.841023,734.814795,525.434776,0.25084,26.905578,42.186999
2017-09-12 02:00:00,58.029399,65.239759,75.737379,112.815248,585.137253,500.080771,0.146725,0.085364,10.211083
2017-09-12 02:15:00,137.266332,30.426113,78.21052,55.189069,263.728281,211.657865,0.058033,0.356101,23.915036
2017-09-12 02:30:00,72.091876,6.583304,109.475871,85.042358,284.271685,330.334999,0.055767,0.676173,14.270113
2017-09-12 02:45:00,3.188348,3.556367,113.870193,226.487393,231.935086,324.033297,0.012816,0.064607,0.992047
2017-09-12 03:00:00,0.595455,12.910165,397.212806,180.878914,171.83755,219.274438,0.017661,0.725996,50.776365
2017-09-12 03:15:00,18.449953,40.220689,85.552716,49.522101,500.223278,251.48917,0.000176,0.006174,4.207851
2017-09-12 03:30:00,23.084106,5.399973,16.935197,20.021949,193.972227,557.562408,0.004186,0.119931,6.264845
